timestamp,frame_num,robot_pos_x,robot_pos_y,robot_pos_z,robot_orient_w,robot_orient_x,robot_orient_y,robot_orient_z,object_pos_x,object_pos_y,object_pos_z,object_orient_w,object_orient_x,object_orient_y,object_orient_z
22.452,71,0.9924564,-0.22461618,0.4949649,0.5686679,0.011109633,-0.0070721167,0.8224618,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
22.765,72,0.92366046,-0.037454765,0.49820736,0.567197,0.0018562762,-0.001348047,0.82357895,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
23.072,73,0.859076,0.14877689,0.49982724,0.57224745,-0.0032430456,0.004557197,0.82006186,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
23.387,74,0.79498506,0.33743802,0.5004665,0.5748151,0.0009739416,-0.003520647,0.81827515,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
23.710,75,0.7231018,0.5375666,0.50036776,0.5747724,-0.005331942,0.0014872692,0.8182945,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
24.038,76,0.65500724,0.7219827,0.49257132,0.57346416,0.002376505,-0.0044314642,0.81921524,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
24.359,77,0.5868706,0.9057726,0.48896936,0.5708675,0.016083015,-0.0021852427,0.82088184,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
24.669,78,0.52300715,1.0980012,0.49394837,0.56999135,-0.004811322,0.008081331,0.8215969,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
24.986,79,0.46066254,1.2813954,0.49647433,0.5690236,0.0025928125,0.0069025173,0.8222882,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
25.297,80,0.3923606,1.4750443,0.50190467,0.57035106,-0.002079921,-0.0019047495,0.8213963,0.5387084380352152,0.4191678707973967,0.0,0.9890109114776291,0.0,0.0,0.1478425411652181
